## abundance is set relative to H for solar metallcity Z = 0.01524
## This solar metallcity is different from that of BPASS Z= 0.02
atomic_number 	element	abundance	non_dep  atomic_mass
1 	H 	  0.00000000	1		1.0079
2 	He  -1.00945993		1 		4.002602
3 	Li -10.99515654	 	0.16 	6.94	
4 	Be -10.62525638	 	0.6 	9.012183
5 	B 	 -9.47525635	0.13 	10.81	
6 	C 	 -3.52525668	0.5 	12.011	
7 	N 	 -4.31515637	1 		14.007	
8 	O 	 -3.16525662	0.7 	15.999	
9 	F 	 -7.46525660	0.3 	18.99840
10 	Ne  -4.00525635		1 		20.1797	
11 	Na  -5.69525640		0.25 	22.98976
12 	Mg  -4.44515642		0.2 	24.305	
13 	Al  -5.55515652		0.02 	26.98153
14 	Si  -4.47525649		0.1 	28.085	
15 	P 	 -6.56515653	0.25 	30.97376
16 	S 	 -4.86505645	1 		32.06	
17 	Cl  -6.52525649		0.5 	35.45	
18 	Ar  -5.62525642		1 		39.948	
19 	K 	 -6.91515658	0.3 	39.0983	
20 	Ca  -5.66515642		0.003 	40.078	
21 	Sc  -8.85505649		0.005 	44.95590
22 	Ti  -7.00514838		0.008 	47.867	
23 	V 	 -8.02525644	0.006 	50.9415	
24 	Cr  -6.35515648		0.006 	51.9961	
25 	Mn  -6.63515652		0.05 	54.93804
26 	Fe  -4.50525648		0.01 	55.845	
27 	Co  -7.10515646		0.01 	58.93319
28 	Ni  -5.77516882		0.04 	58.6934	
29 	Cu  -7.81515648		0.1 	63.546	
30 	Zn  -7.42515634		0.25 	65.38	
